"stock_symbol","Company","Sector","Industry","city","location"
"ODFL","Old Dominion Freight Line","Industrials","Trucking","Thomasville","North Carolina"
"OMC","Omnicom Group","Communication Services","Advertising","New York","New York"
"OKE","Oneok","Energy","Oil & Gas Storage & Transportation","Tulsa","Oklahoma"
"ORCL","Oracle Corp.","Information Technology","Application Software","Austin","Texas"
"OTIS","Otis Worldwide","Industrials","Industrial Machinery","Farmington","Connecticut"
"PCAR","Paccar","Industrials","Construction Machinery & Heavy Trucks","Bellevue","Washington"
"PKG","Packaging Corporation of America","Materials","Paper Packaging","Lake Forest","Illinois"
"PH","Parker-Hannifin","Industrials","Industrial Machinery","Cleveland","Ohio"
"PAYX","Paychex Inc.","Information Technology","Data Processing & Outsourced Services","Penfield","New York"
"PAYC","Paycom","Information Technology","Application Software","Oklahoma City","Oklahoma"
"PYPL","PayPal","Information Technology","Data Processing & Outsourced Services","San Jose","California"
"PENN","Penn National Gaming","Consumer Discretionary","Casinos & Gaming","Wyomissing","Pennsylvania"
"PBCT","People's United Financial","Financials","Thrifts & Mortgage Finance","Bridgeport","Connecticut"
"PEP","PepsiCo Inc.","Consumer Staples","Soft Drinks","Purchase","New York"
"PKI","PerkinElmer","Health Care","Health Care Equipment","Waltham","Massachusetts"
"PFE","Pfizer Inc.","Health Care","Pharmaceuticals","New York","New York"
"PM","Philip Morris International","Consumer Staples","Tobacco","New York","New York"
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Houston","Texas"
"PNW","Pinnacle West Capital","Utilities","Multi-Utilities","Phoenix","Arizona"
"PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","Irving","Texas"
"PNC","PNC Financial Services","Financials","Regional Banks","Pittsburgh","Pennsylvania"
"POOL","Pool Corporation","Consumer Discretionary","Distributors","Covington","Louisiana"
"PPG","PPG Industries","Materials","Specialty Chemicals","Pittsburgh","Pennsylvania"
"PPL","PPL Corp.","Utilities","Electric Utilities","Allentown","Pennsylvania"
"PFG","Principal Financial Group","Financials","Life & Health Insurance","Des Moines","Iowa"
"PG","Procter & Gamble","Consumer Staples","Personal Products","Cincinnati","Ohio"
"PGR","Progressive Corp.","Financials","Property & Casualty Insurance","Mayfield Village","Ohio"
"PLD","Prologis","Real Estate","Industrial REITs","San Francisco","California"
"PRU","Prudential Financial","Financials","Life & Health Insurance","Newark","New Jersey"
"PEG","Public Service Enterprise Group (PSEG)","Utilities","Electric Utilities","Newark","New Jersey"
"PSA","Public Storage","Real Estate","Specialized REITs","Glendale","California"
"PHM","PulteGroup","Consumer Discretionary","Homebuilding","Atlanta","Georgia"
"PVH","PVH Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
"QRVO","Qorvo","Information Technology","Semiconductors","Greensboro","North Carolina"
"PWR","Quanta Services Inc.","Industrials","Construction & Engineering","Houston","Texas"
"QCOM","Qualcomm","Information Technology","Semiconductors","San Diego","California"
"DGX","Quest Diagnostics","Health Care","Health Care Services","Secaucus","New Jersey"
"RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
"RJF","Raymond James Financial","Financials","Investment Banking & Brokerage","St. Petersburg","Florida"
"RTX","Raytheon Technologies","Industrials","Aerospace & Defense","Waltham","Massachusetts"
"O","Realty Income Corporation","Real Estate","Retail REITs","San Diego","California"
"REG","Regency Centers Corporation","Real Estate","Retail REITs","Jacksonville","Florida"
"REGN","Regeneron Pharmaceuticals","Health Care","Biotechnology","Tarrytown","New York"
"RF","Regions Financial Corp.","Financials","Regional Banks","Birmingham","Alabama"
"RSG","Republic Services Inc","Industrials","Environmental & Facilities Services","Phoenix","Arizona"
"RMD","ResMed","Health Care","Health Care Equipment","San Diego","California"
"RHI","Robert Half International","Industrials","Human Resource & Employment Services","Menlo Park","California"
"ROK","Rockwell Automation Inc.","Industrials","Electrical Components & Equipment","Milwaukee","Wisconsin"
"ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services","Atlanta","Georgia"
"ROP","Roper Technologies","Industrials","Industrial Conglomerates","Sarasota","Florida"
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Dublin","California"
"RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami","Florida"
"SPGI","S&P Global Inc.","Financials","Financial Exchanges & Data","New York","New York"
"CRM","Salesforce.com","Information Technology","Application Software","San Francisco","California"
"SBAC","SBA Communications","Real Estate","Specialized REITs","Boca Raton","Florida"
"SEE","Sealed Air","Materials","Paper Packaging","Charlotte","North Carolina"
"SRE","Sempra Energy","Utilities","Multi-Utilities","San Diego","California"
"NOW","ServiceNow","Information Technology","Systems Software","Santa Clara","California"
"SHW","Sherwin-Williams","Materials","Specialty Chemicals","Cleveland","Ohio"
"SPG","Simon Property Group Inc","Real Estate","Retail REITs","Indianapolis","Indiana"
"SWKS","Skyworks Solutions","Information Technology","Semiconductors","Woburn","Massachusetts"
"SNA","Snap-on","Industrials","Industrial Machinery","Kenosha","Wisconsin"
"SO","Southern Company","Utilities","Electric Utilities","Atlanta","Georgia"
"LUV","Southwest Airlines","Industrials","Airlines","Dallas","Texas"
"SWK","Stanley Black & Decker","Industrials","Industrial Machinery","New Britain","Connecticut"
"SBUX","Starbucks Corp.","Consumer Discretionary","Restaurants","Seattle","Washington"
"STT","State Street Corp.","Financials","Asset Management & Custody Banks","Boston","Massachusetts"
"SYK","Stryker Corp.","Health Care","Health Care Equipment","Kalamazoo","Michigan"
"SIVB","SVB Financial","Financials","Regional Banks","Santa Clara","California"
"SYF","Synchrony Financial","Financials","Consumer Finance","Stamford","Connecticut"
"SNPS","Synopsys Inc.","Information Technology","Application Software","Mountain View","California"
"SYY","Sysco Corp.","Consumer Staples","Food Distributors","Houston","Texas"
"TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services","Bellevue","Washington"
"TROW","T. Rowe Price Group","Financials","Asset Management & Custody Banks","Baltimore","Maryland"
"TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment","New York","New York"
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
"TGT","Target Corp.","Consumer Discretionary","General Merchandise Stores","Minneapolis","Minnesota"
"TDY","Teledyne Technologies","Industrials","Aerospace & Defense","Thousand Oaks","California"
"TFX","Teleflex","Health Care","Health Care Equipment","Wayne","Pennsylvania"
"TER","Teradyne","Information Technology","Semiconductor Equipment","North Reading","Massachusetts"
"TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","Palo Alto","California"
"TXN","Texas Instruments","Information Technology","Semiconductors","Dallas","Texas"
"TXT","Textron Inc.","Industrials","Aerospace & Defense","Providence","Rhode Island"
"TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","Waltham","Massachusetts"
"TJX","TJX Companies Inc.","Consumer Discretionary","Apparel Retail","Framingham","Massachusetts"
"TSCO","Tractor Supply Company","Consumer Discretionary","Specialty Stores","Brentwood","Tennessee"
"TDG","TransDigm Group","Industrials","Aerospace & Defense","Cleveland","Ohio"
"TRV","The Travelers Companies","Financials","Property & Casualty Insurance","New York","New York"
"TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","Sunnyvale","California"
"TFC","Truist Financial","Financials","Regional Banks","Charlotte","North Carolina"
"TWTR","Twitter, Inc.","Communication Services","Interactive Media & Services","San Francisco","California"
"TYL","Tyler Technologies","Information Technology","Application Software","Plano","Texas"
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Springdale","Arkansas"
"UDR","UDR, Inc.","Real Estate","Residential REITs","Highlands Ranch","Colorado"
"ULTA","Ulta Beauty","Consumer Discretionary","Specialty Stores","Bolingbrook","Illinois"
"USB","U.S. Bancorp","Financials","Diversified Banks","Minneapolis","Minnesota"
"UAA","Under Armour (Class A)","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore","Maryland"
"UA","Under Armour (Class C)","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore","Maryland"
"UNP","Union Pacific Corp","Industrials","Railroads","Omaha","Nebraska"
"UAL","United Airlines Holdings","Industrials","Airlines","Chicago","Illinois"
"UNH","UnitedHealth Group Inc.","Health Care","Managed Health Care","Minnetonka","Minnesota"
"UPS","United Parcel Service","Industrials","Air Freight & Logistics","Atlanta","Georgia"
"URI","United Rentals, Inc.","Industrials","Trading Companies & Distributors","Stamford","Connecticut"
"UHS","Universal Health Services","Health Care","Health Care Facilities","King of Prussia","Pennsylvania"
"UNM","Unum Group","Financials","Life & Health Insurance","Chattanooga","Tennessee"
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","San Antonio","Texas"
"VAR","Varian Medical Systems","Health Care","Health Care Equipment","Palo Alto","California"
"VTR","Ventas Inc","Real Estate","Health Care REITs","Chicago","Illinois"
"VRSN","Verisign Inc.","Information Technology","Internet Services & Infrastructure","Dulles","Virginia"
"VRSK","Verisk Analytics","Industrials","Research & Consulting Services","Jersey City","New Jersey"
"VZ","Verizon Communications","Communication Services","Integrated Telecommunication Services","New York","New York"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Biotechnology","Cambridge","Massachusetts"
"VFC","VF Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Denver","Colorado"
"VIAC","ViacomCBS","Communication Services","Movies & Entertainment","New York","New York"
"VTRS","Viatris","Health Care","Pharmaceuticals","Pittsburgh","Pennsylvania"
"V","Visa Inc.","Information Technology","Data Processing & Outsourced Services","San Francisco","California"
"VNO","Vornado Realty Trust","Real Estate","Office REITs","New York","New York"
"VMC","Vulcan Materials","Materials","Construction Materials","Birmingham","Alabama"
"WRB","W. R. Berkley Corporation","Financials","Property & Casualty Insurance","Greenwich","Connecticut"
"WAB","Westinghouse Air Brake Technologies Corp","Industrials","Construction Machinery & Heavy Trucks","Wilmerding","Pennsylvania"
"WMT","Walmart","Consumer Staples","Hypermarkets & Super Centers","Bentonville","Arkansas"
"WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","Deerfield","Illinois"
"DIS","The Walt Disney Company","Communication Services","Movies & Entertainment","Burbank","California"
"WM","Waste Management Inc.","Industrials","Environmental & Facilities Services","Houston","Texas"
"WAT","Waters Corporation","Health Care","Health Care Distributors","Milford","Massachusetts"
"WEC","WEC Energy Group","Utilities","Electric Utilities","Milwaukee","Wisconsin"
"WFC","Wells Fargo","Financials","Diversified Banks","San Francisco","California"
"WELL","Welltower Inc.","Real Estate","Health Care REITs","Toledo","Ohio"
"WST","West Pharmaceutical Services","Health Care","Health Care Supplies","Exton","Pennsylvania"
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","San Jose","California"
"WU","Western Union Co","Information Technology","Data Processing & Outsourced Services","Englewood","Colorado"
"WRK","WestRock","Materials","Paper Packaging","Atlanta","Georgia"
"WY","Weyerhaeuser","Real Estate","Specialized REITs","Federal Way","Washington"
"WHR","Whirlpool Corp.","Consumer Discretionary","Household Appliances","Benton Harbor","Michigan"
"WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","Tulsa","Oklahoma"
"WYNN","Wynn Resorts Ltd","Consumer Discretionary","Casinos & Gaming","Paradise","Nevada"
"XEL","Xcel Energy Inc","Utilities","Multi-Utilities","Minneapolis","Minnesota"
"XLNX","Xilinx","Information Technology","Semiconductors","San Jose","California"
"XYL","Xylem Inc.","Industrials","Industrial Machinery","White Plains","New York"
"YUM","Yum! Brands Inc","Consumer Discretionary","Restaurants","Louisville","Kentucky"
"ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments","Lincolnshire","Illinois"
"ZBH","Zimmer Biomet","Health Care","Health Care Equipment","Warsaw","Indiana"
"ZION","Zions Bancorp","Financials","Regional Banks","Salt Lake City","Utah"
"ZTS","Zoetis","Health Care","Pharmaceuticals","Parsippany","New Jersey"
